,Language,Meaning,Phonological Form,Cognate Class,cc
72,Russian,fat,ʐɨr,N,fat:N
73,Polish,fat,twuʂtʂ,Am,fat:Am
74,Belarusian,fat,tɫuʂtʂ,Am,fat:Am
75,Ukrainian,fat,ʐɪr,N,fat:N
76,Slovak,fat,tuk,H,fat:H
77,Czech,fat,tuk,H,fat:H
78,Sorbian Upper,fat,tuk,H,fat:H
79,Sorbian Lower,fat,ˈtutsnɛ,H,fat:H
80,Slovenian,fat,mâːst,G,fat:G
86,Old Norse,fat,ˈfita,B,fat:B
87,Old Norse,fat,"smjɔr, smør",U,fat:U
88,Icelandic,fat,ˈfɪːtʰa,B,fat:B
89,Icelandic,fat,ˈfeiːtʰɪ,B,fat:B
90,Faroese,fat,"fiːti, faiʰtː",B,fat:B
91,Norwegian Riksmal,fat,fɛtː,B,fat:B
92,Old Swedish,fat,ˈfiːtma,B,fat:B
93,Swedish,fat,fɛtː,B,fat:B
96,Elfdalian,fat,ˈfɪ̀ɛːtɑ,B,fat:B
97,Danish,fat,fɛd̥,B,fat:B
98,Danish Fjolde,fat,fæd,B,fat:B
99,Gutnish Lau,fat,fɛtː,B,fat:B
101,English,fat,fæt,B,fat:B
102,Frisian,fat,fɛt,B,fat:B
103,Dutch,fat,vɛt,B,fat:B
108,German,fat,fɛt,B,fat:B
114,Latin,fat,ˈkrasːus,I,fat:I
116,Catalan,fat,gras,I,fat:I
117,Catalan,fat,greʃ,I,fat:I
118,Portuguese,fat,ɡuɾˈðuɾɐ,E,fat:E
119,Spanish,fat,'ɡɾasa,I,fat:I
125,French,fat,gʀɛs,I,fat:I
131,Italian,fat,'grasso,I,fat:I
136,Old Irish,fat,gʹerʹ,Ag,fat:Ag
137,Old Irish,fat,blonəg,T,fat:T
141,Middle Cornish,fat,'blɔnɛk,T,fat:T
147,Middle Breton,fat,ˈlart,Aj,fat:Aj
148,Breton,fat,ˈlart,Aj,fat:Aj
6,Ancient Greek,freeze,pɛ́ːgnumai̯,K,freeze:K
7,Greek,freeze,paˈɣo̞no̞,K,freeze:K
10,Classical Armenian,freeze,saṙ-č'-im,E,freeze:E
11,Armenian Eastern,freeze,sɑrˈʧʰɛl,E,freeze:E
19,Ossetic,freeze,sælɨn,M,freeze:M
21,Ossetic Iron,freeze,šɐl-,M,freeze:M
22,Ossetic Digor,freeze,sɐl-,M,freeze:M
30,Assamese,freeze,got mar,U,freeze:U
31,Oriya,freeze,bɔsiǰiba,V,freeze:V
34,Bihari,freeze,jəməb,F,freeze:F
35,Magahi,freeze,ɟəmnɑ,F,freeze:F
37,Urdu,freeze,ʤəmnə,F,freeze:F
42,Marathi,freeze,'goʈʰɳe,U,freeze:U
47,Old Church Slavonic,freeze,(po-/sʊ̆-)mr̩znɔ̃ti,C,freeze:C
48,Serbo-Croatian,freeze,ˈsmr̂znuti,C,freeze:C
49,Bulgarian,freeze,zəˈmrɤzvəm,C,freeze:C
50,Macedonian,freeze,ˈmərznɛ,C,freeze:C
51,Russian,freeze,zamʲɛr'zatʲ,C,freeze:C
52,Polish,freeze,zaˈmarzatɕ,C,freeze:C
53,Belarusian,freeze,zamʲarzatsʲ,C,freeze:C
54,Ukrainian,freeze,zamɛrˈzatɪ,C,freeze:C
55,Slovak,freeze,ˈmr̩znuc,C,freeze:C
56,Czech,freeze,ˈmr̩znɔut,C,freeze:C
57,Sorbian Upper,freeze,ˈmĕɛʀznɘ̟tʃ,C,freeze:C
58,Sorbian Lower,freeze,ˈmarznuɕ,C,freeze:C
59,Slovenian,freeze,(-)ˈmə̌ːrzniti,C,freeze:C
63,Old Norse,freeze,ˈkala,R,freeze:R
64,Old Norse,freeze,ˈfrjoːsa,B,freeze:B
65,Icelandic,freeze,ˈfrjouːsa,B,freeze:B
66,Faroese,freeze,ˈfɹɪsta,B,freeze:B
67,Norwegian Riksmal,freeze,ˈfɾỳːsə,B,freeze:B
68,Stavangersk,freeze,ˈfʁyːsa,B,freeze:B
69,Old Swedish,freeze,ˈfryːsa,B,freeze:B
70,Swedish,freeze,ˈfrỳ:sa,B,freeze:B
73,Elfdalian,freeze,tyœ̀lɔ,Q,freeze:Q
75,Danish,freeze,ˈfʁy:sə,B,freeze:B
76,Danish Fjolde,freeze,fɹyːs,B,freeze:B
77,Gutnish Lau,freeze,ˈfrausɛ,B,freeze:B
79,English,freeze,fri:z,B,freeze:B
81,Dutch,freeze,'vrizə(n),B,freeze:B
85,German,freeze,'fri:rən,B,freeze:B
89,Latin,freeze,geˈlaːre,G,freeze:G
91,Catalan,freeze,ʒə'la,G,freeze:G
92,Portuguese,freeze,ʒɨˈlaɾ,G,freeze:G
93,Spanish,freeze,e'laɾ,G,freeze:G
99,French,freeze,ʒəle,G,freeze:G
105,Italian,freeze,dʒe'lare,G,freeze:G
108,Old Irish,freeze,rʹe:oðəðʹ,B,freeze:B
109,Old Irish,freeze,sʹekəðʹ,S,freeze:S
110,Middle Cornish,freeze,rɛwi,B,freeze:B
111,Breton,freeze,ˈreːvĩ,B,freeze:B
9,Ancient Greek,smoke,kapnós,F,smoke:F
11,Greek,smoke,kaˈpno̞s,F,smoke:F
13,Classical Armenian,smoke,mux,E,smoke:E
14,Classical Armenian,smoke,cowx,H,smoke:H
15,Armenian Eastern,smoke,ʦuχ,H,smoke:H
16,Armenian Eastern,smoke,mux,E,smoke:E
32,Ossetic,smoke,fæzdæɡ,G,smoke:G
33,Ossetic,smoke,qwætsæ,I,smoke:I
34,Ossetic Iron,smoke,fɐždɐg,G,smoke:G
43,Assamese,smoke,dhõa,A,smoke:A
44,Oriya,smoke,dhũã,A,smoke:A
46,Bihari,smoke,dhũa,A,smoke:A
50,Urdu,smoke,d̪ʰʊwɑ̃,A,smoke:A
55,Marathi,smoke,dʰu:ɾ,A,smoke:A
59,Old Church Slavonic,smoke,dɯmʊ̆,A,smoke:A
60,Serbo-Croatian,smoke,dîm,A,smoke:A
61,Bulgarian,smoke,ˈpuʃɘk,M,smoke:M
62,Macedonian,smoke,tʃad,L,smoke:L
63,Russian,smoke,dɨm,A,smoke:A
64,Polish,smoke,dɘ̟m,A,smoke:A
65,Belarusian,smoke,dɨm,A,smoke:A
66,Ukrainian,smoke,dɪm,A,smoke:A
67,Slovak,smoke,dim,A,smoke:A
68,Czech,smoke,kɔur̝̊,K,smoke:K
69,Czech,smoke,diːm,A,smoke:A
70,Sorbian Upper,smoke,kuʀ,K,smoke:K
71,Sorbian Lower,smoke,dɘ̟m,A,smoke:A
72,Slovenian,smoke,dim,A,smoke:A
76,Old Norse,smoke,rɛykr,B,smoke:B
77,Icelandic,smoke,ˈreiːkʰʏr,B,smoke:B
78,Faroese,smoke,ˈɹɔiːkʰʊɹ,B,smoke:B
79,Norwegian Riksmal,smoke,ɾœʏk,B,smoke:B
80,Stavangersk,smoke,ʁœɪɡ,B,smoke:B
81,Old Swedish,smoke,ˈrøːker,B,smoke:B
82,Swedish,smoke,rø:k,B,smoke:B
85,Elfdalian,smoke,ræːk,B,smoke:B
86,Danish,smoke,ʁʌjˀ,B,smoke:B
87,Danish Fjolde,smoke,"ɹyøɣ, ɹyøɡ",B,smoke:B
88,Gutnish Lau,smoke,roɪk,B,smoke:B
91,English,smoke,sməʊk,E,smoke:E
92,Frisian,smoke,re:k,B,smoke:B
93,Dutch,smoke,rok,B,smoke:B
98,German,smoke,raŭx,B,smoke:B
103,Latin,smoke,ˈfuːmus,A,smoke:A
104,Catalan,smoke,fum,A,smoke:A
105,Portuguese,smoke,'fumu,A,smoke:A
106,Spanish,smoke,'umo,A,smoke:A
112,French,smoke,fyme,A,smoke:A
119,Italian,smoke,'fumo,A,smoke:A
122,Old Irish,smoke,mu:x,E,smoke:E
123,Old Irish,smoke,dʹe:,A,smoke:A
124,Middle Cornish,smoke,mɔ:g,E,smoke:E
11,Ancient Greek,when,póte,A,when:A
12,Greek,when,ˈpo̞te̞,A,when:A
14,Classical Armenian,when,erb,B,when:B
16,Armenian Eastern,when,jɛɾpʰ,B,when:B
28,Ossetic,when,kæd,A,when:A
29,Ossetic,when,kwɨ,A,when:A
30,Ossetic Iron,when,kɐd/kʷy,A,when:A
31,Ossetic Digor,when,kɐd/ku,A,when:A
37,Assamese,when,ketia,A,when:A
38,Oriya,when,ketebele,A,when:A
41,Bihari,when,kəhiya,A,when:A
46,Urdu,when,kəb,A,when:A
51,Marathi,when,'kẽmwʰa,A,when:A
55,Old Church Slavonic,when,kɔli,A,when:A
56,Old Church Slavonic,when,"kɔgdɑ, kʊ̆ɡdɑ",A,when:A
57,Serbo-Croatian,when,"kâd, ˈkǎda",A,when:A
58,Bulgarian,when,ku'ga,A,when:A
59,Macedonian,when,ˈkoɡa,A,when:A
60,Russian,when,kag'da,A,when:A
61,Polish,when,ˈkʲɛdɘ̟,A,when:A
62,Belarusian,when,kaˈlʲi,A,when:A
63,Ukrainian,when,kɔˈɫɪ,A,when:A
64,Slovak,when,ˈkɛdi,A,when:A
65,Czech,when,ɡdɪ,A,when:A
66,Sorbian Upper,when,dɘ̟,A,when:A
67,Sorbian Lower,when,ɡa,A,when:A
68,Slovenian,when,"ɡdǎːj, ɡdâːj",A,when:A
72,Old Norse,when,ˈɣveːˌnɛːr,A,when:A
73,Icelandic,when,"ˈxʷɛːnaiːr, kʰvɛːnaiːr",A,when:A
74,Faroese,when,nɛaːɹ,A,when:A
75,Norwegian Riksmal,when,noːɾ,A,when:A
76,Stavangersk,when,noːʁ,A,when:A
77,Old Swedish,when,næːr,A,when:A
78,Swedish,when,næ:r,A,when:A
81,Elfdalian,when,nõːr,A,when:A
82,Danish,when,"vɒˈnɒˀ, nɒˀ",A,when:A
83,Danish Fjolde,when,ven vinʲəɹ,A,when:A
84,Gutnish Lau,when,nɛːr,A,when:A
86,English,when,wɛn,A,when:A
88,Dutch,when,wɑ'ner,A,when:A
93,German,when,van,A,when:A
98,Latin,when,ˈkwandoː,A,when:A
99,Catalan,when,kwan,A,when:A
100,Portuguese,when,ˈkuɐ̃ðu,A,when:A
101,Spanish,when,'kwando,A,when:A
107,French,when,kɑ̃,A,when:A
113,Italian,when,'kwando,A,when:A
116,Old Irish,when,kunʹ,A,when:A
118,Middle Cornish,when,pø:r,A,when:A
122,Irish,when,ˈkahənʲ,A,when:A
13,Ancient Greek,drink,píːnɔː,C,drink:C
15,Greek,drink,ˈpino̞,C,drink:C
17,Classical Armenian,drink,əmp-ɛ-m,C,drink:C
18,Armenian Eastern,drink,əmpem,C,drink:C
19,Armenian Eastern,drink,χəˈmɛl,D,drink:D
33,Ossetic,drink,nwazɨn,G,drink:G
35,Ossetic Iron,drink,nuwaz-,G,drink:G
36,Ossetic Digor,drink,niwaz-,G,drink:G
45,Assamese,drink,pi,C,drink:C
46,Oriya,drink,pi-,C,drink:C
48,Bihari,drink,pib,C,drink:C
49,Magahi,drink,pinɑ,C,drink:C
53,Urdu,drink,pinə,C,drink:C
58,Marathi,drink,'pi:ɳe,C,drink:C
62,Old Church Slavonic,drink,piti,C,drink:C
63,Serbo-Croatian,drink,ˈpîti,C,drink:C
64,Bulgarian,drink,ˈpijə,C,drink:C
65,Macedonian,drink,ˈpi.ɛ,C,drink:C
66,Russian,drink,pʲitʲ,C,drink:C
67,Polish,drink,piʨ,C,drink:C
68,Belarusian,drink,pʲitsʲ,C,drink:C
69,Ukrainian,drink,ˈpɪtɪ,C,drink:C
70,Slovak,drink,pic,C,drink:C
71,Czech,drink,piːt,C,drink:C
72,Sorbian Upper,drink,pitʃ,C,drink:C
73,Sorbian Lower,drink,piɕ,C,drink:C
74,Slovenian,drink,ˈpǐːti,C,drink:C
78,Old Norse,drink,ˈdrekːa,B,drink:B
79,Icelandic,drink,ˈd̥rɛʰkːa,B,drink:B
80,Faroese,drink,ˈd̥rɛʰkːa,B,drink:B
81,Norwegian Riksmal,drink,ˈdɾɪ̀kːə,B,drink:B
82,Stavangersk,drink,ˈdʁɪ̀kːa,B,drink:B
83,Old Swedish,drink,ˈdrikːa,B,drink:B
84,Swedish,drink,ˈdrɪ̀kːa,B,drink:B
87,Elfdalian,drink,ˈdrɪ̀kːɑ,B,drink:B
88,Danish,drink,'dʁɛg̥ʰə,B,drink:B
89,Danish Fjolde,drink,dɹæŋɡ,B,drink:B
91,Gutnish Lau,drink,ˈdrɪkːɛ,B,drink:B
93,English,drink,drɪŋk,B,drink:B
95,Dutch,drink,'drɪŋkə(n),B,drink:B
100,German,drink,'trɪŋkn̩,B,drink:B
106,Latin,drink,ˈbibere,C,drink:C
107,Catalan,drink,"ˈbɛwɾə, ˈbewɾe",C,drink:C
108,Portuguese,drink,bɨˈbeɾ,C,drink:C
109,Spanish,drink,be'βeɾ,C,drink:C
115,French,drink,bwaʀ,C,drink:C
123,Italian,drink,'bere,C,drink:C
127,Old Irish,drink,iβʹəðʹ,C,drink:C
128,Middle Cornish,drink,'ɛva,C,drink:C
130,Middle Breton,drink,ˈeːvaṽ,C,drink:C
131,Breton,drink,ˈeːvã,C,drink:C
134,Irish,drink,oːl̪ˠ,C,drink:C
12,Ancient Greek,he,au̯tós,F/K,he:F/K
14,Ancient Greek,he,ekȇːnos,B/J/L,he:B/J/L
15,Greek,he,afˈto̞s,F/K,he:F/K
18,Armenian Eastern,he,nɑ,B,he:B
36,Ossetic,he,"uj, wɨj",I,he:I
37,Ossetic Iron,he,wyj,I,he:I
45,Assamese,he,xi,K,he:K
47,Oriya,he,ta,K,he:K
58,Urdu,he,woʰ,G,he:G
64,Marathi,he,to,K,he:K
68,Old Church Slavonic,he,jɪ̆,J,he:J
69,Old Church Slavonic,he,tʊ̆,K,he:K
70,Old Church Slavonic,he,ɔnʊ̆,B,he:B
71,Serbo-Croatian,he,ɔ̂ːn,B,he:B
72,Bulgarian,he,tɔj,K,he:K
73,Macedonian,he,toj,K,he:K
74,Russian,he,on,B,he:B
75,Polish,he,ɔn,B,he:B
76,Belarusian,he,jɔn,B,he:B
77,Ukrainian,he,ʋin,B,he:B
78,Slovak,he,ˈɔn,B,he:B
79,Czech,he,ɔn,B,he:B
80,Sorbian Upper,he,wʊn,B,he:B
81,Sorbian Lower,he,wɘ̟n,B,he:B
82,Slovenian,he,ɔn,B,he:B
86,Old Norse,he,hanː,A,he:A
87,Icelandic,he,hanː,A,he:A
88,Faroese,he,hanː,A,he:A
89,Norwegian Riksmal,he,hanː,A,he:A
90,Stavangersk,he,hanː,A,he:A
91,Old Swedish,he,hanː,A,he:A
92,Swedish,he,hanː,A,he:A
95,Elfdalian,he,ɑnː,A,he:A
96,Danish,he,han,A,he:A
97,Danish Fjolde,he,hɑnʲ,A,he:A
99,Gutnish Lau,he,han,A,he:A
101,English,he,hi:,A,he:A
102,Frisian,he,hɛi,A,he:A
103,Frisian,he,ər,J,he:J
104,Dutch,he,hɛi,A,he:A
109,German,he,e:ɐ̯,J,he:J
116,Latin,he,is,J,he:J
117,Catalan,he,eʎ,E,he:E
119,Portuguese,he,ˈelɨ,E,he:E
120,Spanish,he,el,E,he:E
126,French,he,il,E,he:E
132,Italian,he,"'eʎʎi, 'lui",E,he:E
135,Old Irish,he,e:,J,he:J
136,Middle Cornish,he,"e:, ɛ:v",J,he:J
137,Middle Breton,he,ˈeṽ,J,he:J
138,Breton,he,"ẽː, ẽw",J,he:J
140,Irish,he,ʃeː,J,he:J
9,Ancient Greek,five,pénte,O,five:O
10,Greek,five,ˈpe̞nde̞,O,five:O
12,Classical Armenian,five,hing,O,five:O
13,Armenian Eastern,five,hiŋg,O,five:O
26,Ossetic,five,"fondz, fonz",O,five:O
27,Ossetic Iron,five,fonz,O,five:O
28,Ossetic Digor,five,fondz,O,five:O
34,Assamese,five,pas,O,five:O
35,Oriya,five,pancɔ,O,five:O
37,Bihari,five,pãc,O,five:O
38,Magahi,five,pɑ̃c,O,five:O
41,Urdu,five,pɑnʧ,O,five:O
46,Marathi,five,pats,O,five:O
50,Old Church Slavonic,five,pɛ̃tɪ̆,O,five:O
51,Serbo-Croatian,five,pɛ̂ːt,O,five:O
52,Bulgarian,five,pɛt,O,five:O
53,Macedonian,five,pet,O,five:O
54,Russian,five,pʲatʲ,O,five:O
55,Polish,five,pjɛɲtɕ,O,five:O
56,Belarusian,five,pʲatsʲ,O,five:O
57,Ukrainian,five,pjatʲ,O,five:O
58,Slovak,five,pæc,O,five:O
59,Czech,five,pjɛt,O,five:O
60,Sorbian Upper,five,pĕɛtʃ,O,five:O
61,Sorbian Lower,five,pɪɕ,O,five:O
62,Slovenian,five,pêːt,O,five:O
66,Old Norse,five,fimː,O,five:O
67,Icelandic,five,fɪmː,O,five:O
68,Faroese,five,fɪmː,O,five:O
69,Norwegian Riksmal,five,fɛmː,O,five:O
70,Stavangersk,five,fɛmː,O,five:O
71,Old Swedish,five,fæmː,O,five:O
72,Swedish,five,fɛmː,O,five:O
75,Elfdalian,five,fɛmː,O,five:O
76,Danish,five,fɛmˀ,O,five:O
77,Danish Fjolde,five,feːm,O,five:O
79,Gutnish Lau,five,fɛmː,O,five:O
81,English,five,faɪv,O,five:O
82,Frisian,five,fi:f,O,five:O
83,Dutch,five,vɛif,O,five:O
88,German,five,fʏnf,O,five:O
95,Latin,five,ˈkʷiːnkʷe,O,five:O
96,Catalan,five,siŋk,O,five:O
97,Portuguese,five,ˈsĩku,O,five:O
98,Spanish,five,'θiŋko,O,five:O
104,French,five,s ɛ̃k,O,five:O
110,Italian,five,'tʃinkwe,O,five:O
114,Old Irish,five,ko:gʹ,O,five:O
115,Middle Cornish,five,pɪmp,O,five:O
116,Middle Breton,five,ˈpemp,O,five:O
117,Breton,five,"ˈpɛmp, ˈpẽmp",O,five:O
119,Irish,five,kuːɟ,O,five:O
9,Ancient Greek,how,pɔːs,B,how:B
10,Greek,how,po̞s,B,how:B
14,Armenian Eastern,how,inʧʰˈpɛs,C,how:C
30,Ossetic,how,kwɨd,B,how:B
31,Ossetic Iron,how,kʷyd,B,how:B
32,Ossetic Digor,how,kud,B,how:B
37,Assamese,how,kɛnɛkɔi,B,how:B
38,Oriya,how,kemiti,B,how:B
40,Bihari,how,kena,B,how:B
41,Magahi,how,kəise,B,how:B
44,Urdu,how,kɛse,B,how:B
49,Marathi,how,'kəsə,B,how:B
53,Old Church Slavonic,how,kɑkɔ,B,how:B
54,Serbo-Croatian,how,ˈkǎkɔ,B,how:B
55,Bulgarian,how,kak,B,how:B
56,Macedonian,how,ˈkakɔ,B,how:B
57,Russian,how,kak,B,how:B
58,Polish,how,jak,D,how:D
59,Belarusian,how,jak,D,how:D
60,Ukrainian,how,jak,D,how:D
61,Slovak,how,ˈakɔ,D,how:D
62,Czech,how,jak,D,how:D
63,Sorbian Upper,how,kak,B,how:B
64,Sorbian Lower,how,kak,B,how:B
65,Slovenian,how,"kaˈkǒː, kaˈkôː",B,how:B
69,Old Norse,how,ɣveː,B,how:B
70,Icelandic,how,ɣvɛː,B,how:B
71,Faroese,how,ˈkʰʊsːʊ,B,how:B
72,Norwegian Riksmal,how,ˈʋùːɭeːdəs,B,how:B
73,Stavangersk,how,"kusː, ˈkulːəs",B,how:B
74,Old Swedish,how,huːru,B,how:B
75,Swedish,how,hʉ:r,B,how:B
78,Elfdalian,how,ʉːr; ˈʉ̀kɪn,B,how:B
79,Danish,how,vɒˈle:ðəs,B,how:B
80,Danish Fjolde,how,vund,B,how:B
82,Gutnish Lau,how,huːr,B,how:B
84,English,how,haʊ,B,how:B
86,Dutch,how,hu,B,how:B
91,German,how,vi:,B,how:B
96,Latin,how,ˈkʷoːmodo,B,how:B
97,Latin,how,kʷam,B,how:B
98,Latin,how,kʷiː,B,how:B
99,Catalan,how,kɔm,B,how:B
100,Portuguese,how,'komu,B,how:B
101,Spanish,how,'komo,B,how:B
107,French,how,kɔmɑ̃,B,how:B
112,Italian,how,'kome,B,how:B
115,Old Irish,how,kʹi:ə kruθ,B,how:B
118,Middle Breton,how,"peˈnaus, ˈpenoːs",B,how:B
119,Breton,how,peˈnoːs,B,how:B
10,Ancient Greek,old,palai̯ós,K,old:K
11,Greek,old,paˈʎo̞s,K,old:K
14,Classical Armenian,old,cer,C,old:C
15,Classical Armenian,old,hin,D,old:D
16,Armenian Eastern,old,t͡sɛɾ,C,old:C
17,Armenian Eastern,old,hin,D,old:D
34,Ossetic,old,zærond,C,old:C
35,Ossetic Iron,old,žɐrond,C,old:C
36,Ossetic Digor,old,zɐrond,C,old:C
42,Assamese,old,purɒna,A,old:A
43,Oriya,old,buɽha,F,old:F
44,Oriya,old,puruɳa,A,old:A
47,Bihari,old,puran,A,old:A
52,Urdu,old,pʊɾɑnɑ,A,old:A
53,Urdu,old,buɽʰɑ,F,old:F
60,Marathi,old,dzu'na,C,old:C
65,Old Church Slavonic,old,stɑrʊ̆,I,old:I
66,Serbo-Croatian,old,stâr,I,old:I
67,Bulgarian,old,star,I,old:I
68,Macedonian,old,star,I,old:I
69,Russian,old,'starɨj,I,old:I
70,Polish,old,ˈstarɘ̟,I,old:I
71,Belarusian,old,staˈrɨ,I,old:I
72,Ukrainian,old,staˈrɪj,I,old:I
73,Slovak,old,ˈstariː,I,old:I
74,Czech,old,ˈstariː,I,old:I
75,Sorbian Upper,old,ˈstaʀɘ̟,I,old:I
76,Sorbian Lower,old,ˈstarɘ̟,I,old:I
77,Slovenian,old,star,I,old:I
81,Old Norse,old,forn,A,old:A
82,Old Norse,old,ˈɡamalː,J,old:J
83,Icelandic,old,ˈɡ̊aːmad̥l,J,old:J
84,Icelandic,old,fɔrd̥n,A,old:A
85,Faroese,old,ˈfɔd̥nʊɹ,A,old:A
86,Faroese,old,ˈɡ̊ɛaːmal,J,old:J
87,Norwegian Riksmal,old,fuːɳ,A,old:A
88,Norwegian Riksmal,old,ˈɡàmːəl,J,old:J
89,Stavangersk,old,ˈɡàmːalə,J,old:J
90,Old Swedish,old,ɡaːmal,J,old:J
91,Old Swedish,old,foːrn,A,old:A
92,Swedish,old,ˈgàmːal,J,old:J
95,Elfdalian,old,ˈgɔ̀mɔl,J,old:J
96,Danish,old,ˈfɒːnə,A,old:A
97,Danish,old,ˈg̥ɑməl,J,old:J
98,Danish Fjolde,old,ˈɡɑməl,J,old:J
101,Gutnish Lau,old,ˈfournar,A,old:A
102,Gutnish Lau,old,ˈɡamːɛl,J,old:J
104,English,old,əʊld,B,old:B
105,Frisian,old,ɔːᵘt,B,old:B
106,Dutch,old,ɑut,B,old:B
112,German,old,alt,B,old:B
117,Latin,old,ˈwetus,G,old:G
119,Catalan,old,bɛʎ,G,old:G
121,Portuguese,old,ˈvɛʎu,G,old:G
122,Spanish,old,'bjexo,G,old:G
128,French,old,vjø,G,old:G
134,Italian,old,'vekkjo,G,old:G
139,Old Irish,old,sʹen,D,old:D
141,Middle Cornish,old,kɔ:θ,H,old:H
142,Middle Breton,old,ˈkoːθ,H,old:H
144,Breton,old,ˈkoːs,H,old:H
147,Irish,old,ʃan,D,old:D
9,Ancient Greek,short,brakʰýs,M,short:M
10,Greek,short,ko̞ˈndo̞s,H,short:H
12,Classical Armenian,short,karč,D,short:D
13,Armenian Eastern,short,kɑɾʧ,D,short:D
26,Ossetic,short,"tsɨbɨr, sɨbɨr",O,short:O
27,Ossetic Iron,short,sybyr,O,short:O
28,Ossetic Digor,short,cubur,O,short:O
32,Assamese,short,suti,U,short:U
33,Oriya,short,geɽa,V,short:V
34,Oriya,short,choʈɔ,I,short:I
36,Bihari,short,choʈ,I,short:I
37,Magahi,short,cʰot(ɑ),I,short:I
39,Urdu,short,ˈʧʰo.ʈə,I,short:I
44,Marathi,short,'ʈʰeŋgɳa,Z,short:Z
49,Old Church Slavonic,short,krɑtʊ̆kʊ̆,D,short:D
50,Serbo-Croatian,short,ˈkrǎtak,D,short:D
51,Bulgarian,short,kɤs,Ab,short:Ab
52,Macedonian,short,ˈkratɔk,D,short:D
53,Russian,short,kɔ'rɔtkʲij,D,short:D
54,Polish,short,ˈkrutkʲi,D,short:D
55,Belarusian,short,kaˈrɔtkʲi,D,short:D
56,Ukrainian,short,kɔˈrotkɪj,D,short:D
57,Slovak,short,ˈkraːtki,D,short:D
58,Czech,short,ˈkraːtkiː,D,short:D
59,Sorbian Upper,short,ˈkʀʊtki,D,short:D
60,Sorbian Lower,short,ˈkrɔtki,D,short:D
61,Slovenian,short,ˈkrǎːtək,D,short:D
65,Old Norse,short,skamːr,Q,short:Q
66,Old Norse,short,stutːr,G,short:G
67,Icelandic,short,ˈskamːʏr,Q,short:Q
68,Icelandic,short,ˈstʏʰtːʏr,G,short:G
69,Faroese,short,ˈstʊʰtːʊɹ,G,short:G
70,Faroese,short,ˈskamːʊɹ,Q,short:Q
71,Norwegian Riksmal,short,kɔʈː,B,short:B
72,Stavangersk,short,ˈkɔʁtə,B,short:B
73,Stavangersk,short,ˈstʉtːə,G,short:G
74,Old Swedish,short,ˈstunter,G,short:G
75,Old Swedish,short,ˈskamber,Q,short:Q
76,Old Swedish,short,kort,B,short:B
77,Swedish,short,kɔrt,B,short:B
80,Elfdalian,short,stʉtː,G,short:G
81,Danish,short,g̥ʰɒ:d̥ʰ,B,short:B
82,Danish Fjolde,short,kɔɹd,B,short:B
83,Gutnish Lau,short,ˈkortar,B,short:B
85,English,short,ʃɔ:t,D,short:D
86,Frisian,short,ku̯at,B,short:B
87,Dutch,short,kɔrt,B,short:B
93,German,short,kʊrt͜s,B,short:B
98,Latin,short,ˈbrewis,M,short:M
99,Catalan,short,kuɾ,D,short:D
100,Portuguese,short,ˈkuɾtu,D,short:D
102,Spanish,short,'koɾto,D,short:D
108,French,short,kuʀ,D,short:D
114,Italian,short,'korto,D,short:D
117,Old Irish,short,bʹerr,F,short:F
118,Old Irish,short,gʹerr,J,short:J
119,Old Irish,short,kumərʹ,M,short:M
120,Middle Cornish,short,bɛr:,F,short:F
13,Ancient Greek,night,nýks,B,night:B
15,Greek,night,nyçta,B,night:B
17,Classical Armenian,night,gišer,C,night:C
18,Armenian Eastern,night,giˈʃɛɾ,C,night:C
34,Ossetic,night,æχsæv,A,night:A
35,Ossetic Iron,night,ɐχšɐv,A,night:A
36,Ossetic Digor,night,ɐχsɐvɐ,A,night:A
49,Oriya,night,rati,D,night:D
52,Bihari,night,rait,D,night:D
56,Urdu,night,ɾɑt̪,D,night:D
61,Marathi,night,'ɾatɾə,D,night:D
65,Old Church Slavonic,night,nɔʃtɪ̆,B,night:B
66,Serbo-Croatian,night,nɔ̂ːtɕ,B,night:B
67,Bulgarian,night,nɔʃt,B,night:B
68,Macedonian,night,noc,B,night:B
69,Russian,night,nɔtʃ,B,night:B
70,Polish,night,nɔts,B,night:B
71,Belarusian,night,nɔtʂ,B,night:B
72,Ukrainian,night,nʲitʂ,B,night:B
73,Slovak,night,nɔts,B,night:B
74,Czech,night,nɔts,B,night:B
75,Sorbian Upper,night,nʊts,B,night:B
76,Sorbian Lower,night,nɔts,B,night:B
77,Slovenian,night,nôːtʃ,B,night:B
81,Old Norse,night,noːtː,B,night:B
82,Icelandic,night,nouʰtː,B,night:B
83,Faroese,night,nɔʰtː,B,night:B
84,Norwegian Riksmal,night,natː,B,night:B
85,Stavangersk,night,nɔtː,B,night:B
86,Old Swedish,night,natː,B,night:B
87,Swedish,night,natː,B,night:B
90,Elfdalian,night,nõːt,B,night:B
91,Danish,night,nad̥ʰ,B,night:B
92,Danish Fjolde,night,nɑt,B,night:B
94,Gutnish Lau,night,nɑːt,B,night:B
96,English,night,naɪt,B,night:B
97,Frisian,night,naxt,B,night:B
99,Dutch,night,nɑχt,B,night:B
104,German,night,naxt,B,night:B
109,Latin,night,noks,B,night:B
110,Catalan,night,nit,B,night:B
111,Portuguese,night,ˈnɔjtɨ,B,night:B
112,Spanish,night,'noʧe,B,night:B
118,French,night,nɥi,B,night:B
125,Italian,night,'nɔtte,B,night:B
