ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
1040	Spanish	meat	kaɾne	k a ɾ n e	306	k a ɾ n e	c831 v130 c064 c105 v200	634	stan1288
1041	Danish	meat	køð	k ø ð	309	k ø ð	c831 v171 c415	634	dani1285
1042	Bulgarian	meat	mɛsɔ	m ɛ s ɔ	307	m ɛ s ɔ	c239 v229 c087 v067	634	bulg1262
1043	Greek	meat	kreas	k r e a s	304	k r e a s	c831 c151 v200 v130 c087	634	mode1248
1044	Armenian	meat	mis	m i s	307	m i s	c239 v191 c087	634	nucl1235
1045	Romanian	meat	karne	k a r n e	306	k a r n e	c831 v130 c151 c105 v200	634	roma1327
1046	Russian	meat	mʲasə	mʲ a s ə	307	mʲ a s ə	c240 v130 c087 v155	634	russ1263
1047	Polish	meat	mʲɛ̃sɔ	mʲ ɛ̃ s ɔ	307	mʲ ɛ̃ s ɔ	c240 v231 c087 v067	634	poli1260
1048	Norwegian	meat	çœt	ç œ t	309	ç œ t	c577 v178 c118	634	norw1258
1049	French	meat	ʃɛʁ	ʃ ɛ ʁ	306	ʃ ɛ ʁ	c677 v229 c733	634	stan1290
1050	Czech	meat	maso	m a s o	307	m a s o	c239 v130 c087 v042	634	czec1258
1051	Icelandic	meat	kʰjœːt	kʰ j œː t	309	kʰ j œː t	c813 c564 v176 c118	634	icel1247
1052	Italian	meat	karne	k a r n e	306	k a r n e	c831 v130 c151 c105 v200	634	ital1282
1053	Hindi	meat	goːʃt	g oː ʃ t	-310	g oː ʃ t	c824 v035 c677 c118	634	hind1269
1054	Portuguese	meat	karnə	k a r n ə	306	k a r n ə	c831 v130 c151 c105 v155	634	port1283
1055	French	meat	vjɑ̃d	v j ɑ̃ d	308	v j ɑ̃ d	c446 c564 v088 c143	634	stan1290
1056	Dutch	moon	maːn	m aː n	315	m aː n	c239 v137 c105	1313	dutc1256
1057	Swedish	moon	moːne	m oː n e	315	m oː n e	c239 v035 c105 v200	1313	swed1254
1058	English	moon	muːn	m uː n	315	m uː n	c239 v019 c105	1313	stan1293
1059	German	moon	moːnt	m oː n t	315	m oː n t	c239 v035 c105 c118	1313	stan1295
1060	Spanish	moon	luna	l u n a	311	l u n a	c548 v027 c105 v130	1313	stan1288
1061	Danish	moon	mɔːnə	m ɔː n ə	315	m ɔː n ə	c239 v065 c105 v155	1313	dani1285
1062	Bulgarian	moon	luna	l u n a	311	l u n a	c548 v027 c105 v130	1313	bulg1262
1063	Greek	moon	selini	s e l i n i	-316	s e l i n i	c087 v200 c548 v191 c105 v191	1313	mode1248
1064	Armenian	moon	lusin	l u s i n	311	l u s i n	c548 v027 c087 v191 c105	1313	nucl1235
1065	Romanian	moon	lunə	l u n ə	311	l u n ə	c548 v027 c105 v155	1313	roma1327
1066	Russian	moon	luna	l u n a	311	l u n a	c548 v027 c105 v130	1313	russ1263
1067	Polish	moon	kɕɛ̃ʒɨʦ	k ɕ ɛ̃ ʒ ɨ ʦ	-312	k ɕ ɛ̃ ʒ ɨ ts	c831 c202 v231 c679 v116 c015	1313	poli1260
1068	Norwegian	moon	mɑːnə	m ɑː n ə	315	m ɑː n ə	c239 v091 c105 v155	1313	norw1258
1069	French	moon	lyn	l y n	311	l y n	c548 v166 c105	1313	stan1290
1070	Czech	moon	mʲɛsiːʦ	mʲ ɛ s iː ʦ	315	mʲ ɛ s iː ts	c240 v229 c087 v183 c015	1313	czec1258
1071	Icelandic	moon	tʰuŋl	tʰ u ŋ l	313	tʰ u ŋ l	c136 v027 c795 c548	1313	icel1247
1072	Italian	moon	luna	l u n a	311	l u n a	c548 v027 c105 v130	1313	ital1282
1073	Hindi	moon	ʧãd	ʧ ã d	314	tʃ ã d	c645 v147 c143	1313	hind1269
1074	Portuguese	moon	luɐ	l w ɐ	311	l w ɐ	c548 c457 v119	1313	port1283
1075	Icelandic	moon	mauːnɪ	m a uː n ɪ	315	m a uː n ɪ	c239 v130 v019 c105 v219	1313	icel1247
1076	Dutch	mountain	bɛrx	b ɛ r x	317	b ɛ r x	c254 v229 c151 c772	639	dutc1256
1077	Swedish	mountain	bɛrːj	b ɛ rː j	317	b ɛ rː j	c254 v229 c160 c564	639	swed1254
1078	English	mountain	maʊntɪn	m aʊ n t ɪ n	-319	m aʊ n t ɪ n	c239 d028 c105 c118 v219 c105	639	stan1293
1079	German	mountain	bɛrk	b ɛ r k	317	b ɛ r k	c254 v229 c151 c831	639	stan1295
1080	Spanish	mountain	montaɲa	m o n t a ɲ a	323	m o n t a ɲ a	c239 v042 c105 c118 v130 c589 v130	639	stan1288
1081	Danish	mountain	bjæʁˀw	b j æ ʁˀ w	317	b j æ ʁˀ w	c254 c564 v198 c838 c457	639	dani1285
1082	Bulgarian	mountain	plənina	p l ə n i n a	322	p l ə n i n a	c288 c548 v155 c105 v191 c105 v130	639	bulg1262
1083	Greek	mountain	oros	o r o s	321	o r o s	v042 c151 v042 c087	639	mode1248
1084	Armenian	mountain	sɑɾ	s ɑ ɾ	320	s ɑ ɾ	c087 v089 c064	639	nucl1235
1085	Romanian	mountain	munte	m u n t e	323	m u n t e	c239 v027 c105 c118 v200	639	roma1327
1086	Russian	mountain	ɡɐra	ɡ ɐ r a	324	g ɐ r a	c824 v119 c151 v130	639	russ1263
1087	Polish	mountain	ɡura	ɡ u r a	324	g u r a	c824 v027 c151 v130	639	poli1260
1088	Norwegian	mountain	fjel	f j e l	318	f j e l	c447 c564 v200 c548	639	norw1258
1089	French	mountain	mɔ̃taɲ	m ɔ̃ t a ɲ	323	m ɔ̃ t a ɲ	c239 v066 c118 v130 c589	639	stan1290
1090	Czech	mountain	ɦora	ɦ o r a	324	ɦ o r a	c397 v042 c151 v130	639	czec1258
1091	Icelandic	mountain	fjat͡l	f j a t͡l	318	f j a tl	c447 c564 v130 c559	639	icel1247
1092	Italian	mountain	montaɲɲa	m o n t a ɲː a	323	m o n t a ɲː a	c239 v042 c105 c118 v130 c587 v130	639	ital1282
1093	Hindi	mountain	pəɦaːɽ	p ə ɦ aː ɽ	318	p ə ɦ aː ɽ	c288 v155 c397 v137 c697	639	hind1269
1094	Portuguese	mountain	mõtə	m õ t ə	323	m õ t ə	c239 v038 c118 v155	639	port1283
1095	Danish	mountain	fjɛlˀ	f j ɛ lˀ	318	f j ɛ lˀ	c447 c564 v229 c550	639	dani1285
1096	Czech	mountain	vr̩x	v r̩ x	325	v r̩ x	c446 c152 c772	639	czec1258
1097	Dutch	mouth	mɔnt	m ɔ n t	328	m ɔ n t	c239 v067 c105 c118	674	dutc1256
1098	Swedish	mouth	munː	m u nː	328	m u nː	c239 v027 c104	674	swed1254
1099	English	mouth	maʊð	m aʊ ð	328	m aʊ ð	c239 d028 c415	674	stan1293
1100	German	mouth	mʊnt	m ʊ n t	328	m ʊ n t	c239 v056 c105 c118	674	stan1295
1101	Spanish	mouth	boka	b o k a	327	b o k a	c254 v042 c831 v130	674	stan1288
1102	Danish	mouth	mɔnˀ	m ɔ nˀ	328	m ɔ nˀ	c239 v067 c094	674	dani1285
1103	Bulgarian	mouth	usta	u s t a	329	u s t a	v027 c087 c118 v130	674	bulg1262
1104	Greek	mouth	stoma	s t o m a	330	s t o m a	c087 c118 v042 c239 v130	674	mode1248
1105	Armenian	mouth	bɛɾɑn	b ɛ ɾ ɑ n	333	b ɛ ɾ ɑ n	c254 v229 c064 v089 c105	674	nucl1235
1106	Romanian	mouth	gurə	g u r ə	326	g u r ə	c824 v027 c151 v155	674	roma1327
1107	Russian	mouth	rot	r o t	332	r o t	c151 v042 c118	674	russ1263
1108	Polish	mouth	usta	u s t a	329	u s t a	v027 c087 c118 v130	674	poli1260
1109	Norwegian	mouth	mʉn	m ʉ n	328	m ʉ n	c239 v102 c105	674	norw1258
1110	French	mouth	buʃ	b u ʃ	327	b u ʃ	c254 v027 c677	674	stan1290
1111	Czech	mouth	uːsta	uː s t a	329	uː s t a	v019 c087 c118 v130	674	czec1258
1112	Icelandic	mouth	mʏnːʏr	m ʏ nː ʏ r	328	m ʏ nː ʏ r	c239 v173 c104 v173 c151	674	icel1247
1113	Italian	mouth	bokka	b o kː a	327	b o kː a	c254 v042 c825 v130	674	ital1282
1114	Hindi	mouth	mʊ̃ɦ	m ʊ̃ ɦ	331	m ʊ̃ ɦ	c239 v057 c397	674	hind1269
1115	Portuguese	mouth	bokɐ	b o k ɐ	327	b o k ɐ	c254 v042 c831 v119	674	port1283
1116	Dutch	name	naːm	n aː m	334	n aː m	c105 v137 c239	1405	dutc1256
1117	Swedish	name	namːn	n a mː n	334	n a mː n	c105 v130 c242 c105	1405	swed1254
1118	English	name	neɪm	n eɪ m	334	n eɪ m	c105 d048 c239	1405	stan1293
1119	German	name	naːmə	n aː m ə	334	n aː m ə	c105 v137 c239 v155	1405	stan1295
1120	Spanish	name	nombɾe	n o m b ɾ e	334	n o m b ɾ e	c105 v042 c239 c254 c064 v200	1405	stan1288
1121	Danish	name	nɑwˀn	n ɑ wˀ n	334	n ɑ wˀ n	c105 v089 c463 c105	1405	dani1285
1122	Bulgarian	name	imɛ	i m ɛ	334	i m ɛ	v191 c239 v229	1405	bulg1262
1123	Greek	name	onoma	o n o m a	334	o n o m a	v042 c105 v042 c239 v130	1405	mode1248
1124	Armenian	name	ɑnun	ɑ n u n	334	ɑ n u n	v089 c105 v027 c105	1405	nucl1235
1125	Romanian	name	nume	n u m e	334	n u m e	c105 v027 c239 v200	1405	roma1327
1126	Russian	name	imʲə	i mʲ ə	334	i mʲ ə	v191 c240 v155	1405	russ1263
1127	Polish	name	imʲɛ̃	i mʲ ɛ̃	334	i mʲ ɛ̃	v191 c240 v231	1405	poli1260
1128	Norwegian	name	nɑʋn	n ɑ ʋ n	-334	n ɑ ʋ n	c105 v089 c424 c105	1405	norw1258
1129	French	name	nɔ̃	n ɔ̃	334	n ɔ̃	c105 v066	1405	stan1290
1130	Czech	name	jmɛːno	j m ɛː n o	334	j m ɛː n o	c564 c239 v225 c105 v042	1405	czec1258
1131	Icelandic	name	napn	n a p n	334	n a p n	c105 v130 c288 c105	1405	icel1247
1132	Italian	name	nome	n o m e	334	n o m e	c105 v042 c239 v200	1405	ital1282
1133	Hindi	name	naːm	n aː m	334	n aː m	c105 v137 c239	1405	hind1269
1134	Portuguese	name	nomə	n o m ə	334	n o m ə	c105 v042 c239 v155	1405	port1283
2005	Dutch	near	naːbɛɪ	n aː b ɛɪ	574	n aː b ɛi	c105 v137 c254 d059	1942	dutc1256
2006	Swedish	near	nɛːra	n ɛː r a	574	n ɛː r a	c105 v225 c151 v130	1942	swed1254
2007	English	near	nɪər	n ɪ ə r	574	n ɪ ə r	c105 v219 v155 c151	1942	stan1293
2008	German	near	naːə	n aː ə	574	n aː ə	c105 v137 v155	1942	stan1295
2009	Spanish	near	θerka	θ e r k a	568	θ e r k a	c413 v200 c151 c831 v130	1942	stan1288
2010	Danish	near	nɛˀʁ	n ɛˀ ʁ	574	n ɛˀ ʁ	c105 v228 c733	1942	dani1285
2011	Bulgarian	near	blizək	b l i z ə k	570	b l i z ə k	c254 c548 v191 c078 v155 c831	1942	bulg1262
2012	Greek	near	konda	k o n d a	573	k o n d a	c831 v042 c105 c143 v130	1942	mode1248
2013	Armenian	near	mot	m o t	-575	m o t	c239 v042 c118	1942	nucl1235
2014	Romanian	near	apropia	a p r o p ia	567	a p r o p ia	v130 c288 c151 v042 c288 d054	1942	roma1327
2015	Russian	near	blʲizkʲɪj	b lʲ i z kʲ ɪ j	570	b lʲ i z kʲ ɪ j	c254 c540 v191 c078 c830 v219 c564	1942	russ1263
2016	Polish	near	bliskɨ	b l i s k ɨ	570	b l i s k ɨ	c254 c548 v191 c087 c831 v116	1942	poli1260
2017	Norwegian	near	næːɾ	n æː ɾ	574	n æː ɾ	c105 v199 c064	1942	norw1258
2018	French	near	prɔʃ	p r ɔ ʃ	567	p r ɔ ʃ	c288 c151 v067 c677	1942	stan1290
2019	Czech	near	bliːskiː	b l iː s k iː	570	b l iː s k iː	c254 c548 v183 c087 c831 v183	1942	czec1258
2020	Icelandic	near	nauː	n a uː	574	n a uː	c105 v130 v019	1942	icel1247
2021	Italian	near	prossimo	p r o sː i m o	567	p r o sː i m o	c288 c151 v042 c070 v191 c239 v042	1942	ital1282
2022	Hindi	near	paːs	p aː s	572	p aː s	c288 v137 c087	1942	hind1269
2023	Portuguese	near	prɔsimu	p r ɔ s i m u	567	p r ɔ s i m u	c288 c151 v067 c087 v191 c239 v027	1942	port1283
2024	Dutch	near	dɪɣdbɛɪ	d ɪ ɣ d b ɛɪ	569	d ɪ ɣ d b ɛi	c143 v219 c774 c143 c254 d059	1942	dutc1256
2025	English	near	kləʊs	k l əʊ s	-571	k l əu s	c831 c548 d029 c087	1942	stan1293
1135	Dutch	neck	hɑls	h ɑ l s	339	h ɑ l s	c401 v089 c548 c087	1333	dutc1256
1136	Swedish	neck	halːs	h a lː s	339	h a lː s	c401 v130 c539 c087	1333	swed1254
1137	English	neck	nɛk	n ɛ k	342	n ɛ k	c105 v229 c831	1333	stan1293
1138	German	neck	hals	h a l s	339	h a l s	c401 v130 c548 c087	1333	stan1295
1139	Spanish	neck	kweʎo	k w e ʎ o	339	k w e ʎ o	c831 c457 v200 c582 v042	1333	stan1288
1140	Danish	neck	halˀs	h a lˀ s	339	h a lˀ s	c401 v130 c550 c087	1333	dani1285
1141	Bulgarian	neck	ʃijə	ʃ i j ə	340	ʃ i j ə	c677 v191 c564 v155	1333	bulg1262
1142	Armenian	neck	viz	v i z	341	v i z	c446 v191 c078	1333	nucl1235
1143	Romanian	neck	gɨt	g ɨ t	-338	g ɨ t	c824 v116 c118	1333	roma1327
1144	Russian	neck	ʃejə	ʃ e j ə	340	ʃ e j ə	c677 v200 c564 v155	1333	russ1263
1145	Polish	neck	ʃɨja	ʃ ɨ j a	340	ʃ ɨ j a	c677 v116 c564 v130	1333	poli1260
1146	Norwegian	neck	hɑls	h ɑ l s	339	h ɑ l s	c401 v089 c548 c087	1333	norw1258
1147	French	neck	ku	k u	339	k u	c831 v027	1333	stan1290
1148	Czech	neck	kr̩k	k r̩ k	335	k r̩ k	c831 c152 c831	1333	czec1258
1149	Icelandic	neck	hauls	h au l s	339	h au l s	c401 d026 c548 c087	1333	icel1247
1150	Italian	neck	kɔllo	k ɔ lː o	339	k ɔ lː o	c831 v067 c539 v042	1333	ital1282
1151	Hindi	neck	gəlaː	g ə l aː	336	g ə l aː	c824 v155 c548 v137	1333	hind1269
1152	Portuguese	neck	kɔlu	k ɔ l u	339	k ɔ l u	c831 v067 c548 v027	1333	port1283
1153	Dutch	neck	nɛk	n ɛ k	342	n ɛ k	c105 v229 c831	1333	dutc1256
1154	Bulgarian	neck	vrat	v r a t	337	v r a t	c446 c151 v130 c118	1333	bulg1262
1155	Dutch	new	niːʋ	n iː ʋ	343	n iː ʋ	c105 v183 c424	1231	dutc1256
1156	Swedish	new	nyː	n yː	343	n yː	c105 v168	1231	swed1254
1157	English	new	njuː	n j uː	343	n j uː	c105 c564 v019	1231	stan1293
1158	German	new	nɔy	n ɔi	343	n ɔi	c105 d018	1231	stan1295
1159	Spanish	new	nweβo	n w e β o	343	n w e β o	c105 c457 v200 c225 v042	1231	stan1288
1160	Danish	new	nyˀ	n yˀ	343	n yˀ	c105 v244	1231	dani1285
1161	Bulgarian	new	nɔf	n ɔ f	343	n ɔ f	c105 v067 c447	1231	bulg1262
1162	Greek	new	neos	n e o s	343	n e o s	c105 v200 v042 c087	1231	mode1248
1163	Armenian	new	noɾ	n o ɾ	343	n o ɾ	c105 v042 c064	1231	nucl1235
1164	Romanian	new	now	n o w	343	n o w	c105 v042 c457	1231	roma1327
1165	Russian	new	novɨj	n o v ɨ j	343	n o v ɨ j	c105 v042 c446 v116 c564	1231	russ1263
1166	Polish	new	nɔvɨ	n ɔ v ɨ	343	n ɔ v ɨ	c105 v067 c446 v116	1231	poli1260
1167	Norwegian	new	nyː	n yː	343	n yː	c105 v168	1231	norw1258
1168	French	new	nœf	n œ f	343	n œ f	c105 v178 c447	1231	stan1290
1169	Czech	new	noviː	n o v iː	343	n o v iː	c105 v042 c446 v183	1231	czec1258
1170	Icelandic	new	niːr	n iː r	343	n iː r	c105 v183 c151	1231	icel1247
1171	Italian	new	nwɔvo	n w ɔ v o	343	n w ɔ v o	c105 c457 v067 c446 v042	1231	ital1282
1172	Hindi	new	nəjaː	n ə j aː	343	n ə j aː	c105 v155 c564 v137	1231	hind1269
1173	Portuguese	new	novu	n o v u	343	n o v u	c105 v042 c446 v027	1231	port1283
1174	Dutch	night	nɑxt	n ɑ x t	346	n ɑ x t	c105 v089 c772 c118	1233	dutc1256
1175	Swedish	night	natː	n a tː	346	n a tː	c105 v130 c128	1233	swed1254
1176	English	night	naɪt	n aɪ t	346	n aɪ t	c105 d032 c118	1233	stan1293
1177	German	night	naxt	n a x t	346	n a x t	c105 v130 c772 c118	1233	stan1295
1178	Spanish	night	noʧe	n o ʧ e	346	n o tʃ e	c105 v042 c645 v200	1233	stan1288
1179	Danish	night	nad	n a d	346	n a d	c105 v130 c143	1233	dani1285
1180	Bulgarian	night	nɔʃt	n ɔ ʃ t	346	n ɔ ʃ t	c105 v067 c677 c118	1233	bulg1262
1181	Greek	night	nixta	n i x t a	346	n i x t a	c105 v191 c772 c118 v130	1233	mode1248
1182	Armenian	night	giʃɛɾ	g i ʃ ɛ ɾ	344	g i ʃ ɛ ɾ	c824 v191 c677 v229 c064	1233	nucl1235
1183	Romanian	night	nwapte	n w a p t e	346	n w a p t e	c105 c457 v130 c288 c118 v200	1233	roma1327
1184	Russian	night	noʧ	n o ʧ	346	n o tʃ	c105 v042 c645	1233	russ1263
1185	Polish	night	nɔʦ	n ɔ ʦ	346	n ɔ ts	c105 v067 c015	1233	poli1260
1186	Norwegian	night	nɑt	n ɑ t	346	n ɑ t	c105 v089 c118	1233	norw1258
1187	French	night	nɥi	n ɥ i	346	n ɥ i	c105 c453 v191	1233	stan1290
1188	Czech	night	noʦ	n o ʦ	346	n o ts	c105 v042 c015	1233	czec1258
1189	Icelandic	night	nouʰt	n ou ʰt	346	n ou ʰt	c105 d006 c836	1233	icel1247
1190	Italian	night	nɔtte	n ɔ tː e	346	n ɔ tː e	c105 v067 c128 v200	1233	ital1282
1191	Hindi	night	raːt	r aː t	345	r aː t	c151 v137 c118	1233	hind1269
1192	Portuguese	night	nojtə	n o j t ə	346	n o j t ə	c105 v042 c564 c118 v155	1233	port1283
1193	Dutch	nose	nœːs	n œː s	350	n œː s	c105 v176 c087	1221	dutc1256
1194	Swedish	nose	nɛːsa	n ɛː s a	350	n ɛː s a	c105 v225 c087 v130	1221	swed1254
1195	English	nose	nəʊz	n əʊ z	350	n əu z	c105 d029 c078	1221	stan1293
1196	German	nose	naːzə	n aː z ə	350	n aː z ə	c105 v137 c078 v155	1221	stan1295
1197	Spanish	nose	naɾiθ	n a ɾ i θ	350	n a ɾ i θ	c105 v130 c064 v191 c413	1221	stan1288
1198	Danish	nose	nɛːsə	n ɛː s ə	350	n ɛː s ə	c105 v225 c087 v155	1221	dani1285
1199	Bulgarian	nose	nɔs	n ɔ s	350	n ɔ s	c105 v067 c087	1221	bulg1262
1200	Greek	nose	miti	m i t i	348	m i t i	c239 v191 c118 v191	1221	mode1248
1201	Armenian	nose	kʰitʰ	kʰ i tʰ	-349	kʰ i tʰ	c813 v191 c136	1221	nucl1235
1202	Romanian	nose	nas	n a s	350	n a s	c105 v130 c087	1221	roma1327
1203	Russian	nose	nos	n o s	350	n o s	c105 v042 c087	1221	russ1263
1204	Polish	nose	nɔs	n ɔ s	350	n ɔ s	c105 v067 c087	1221	poli1260
1205	Norwegian	nose	neːsə	n eː s ə	350	n eː s ə	c105 v202 c087 v155	1221	norw1258
1206	French	nose	ne	n e	350	n e	c105 v200	1221	stan1290
1207	Czech	nose	nos	n o s	350	n o s	c105 v042 c087	1221	czec1258
1208	Icelandic	nose	nɛːv	n ɛː v	347	n ɛː v	c105 v225 c446	1221	icel1247
1209	Italian	nose	naso	n a s o	350	n a s o	c105 v130 c087 v042	1221	ital1282
1210	Hindi	nose	naːk	n aː k	350	n aː k	c105 v137 c831	1221	hind1269
1211	Portuguese	nose	nɐriʃ	n ɐ r i ʃ	350	n ɐ r i ʃ	c105 v119 c151 v191 c677	1221	port1283
1212	Dutch	not	niːt	n iː t	352	n iː t	c105 v183 c118	1240	dutc1256
1213	Swedish	not	ikːe	i kː e	353	i kː e	v191 c825 v200	1240	swed1254
1214	English	not	nɔt	n ɔ t	352	n ɔ t	c105 v067 c118	1240	stan1293
1215	German	not	nɪxt	n ɪ x t	352	n ɪ x t	c105 v219 c772 c118	1240	stan1295
1216	Spanish	not	no	n o	352	n o	c105 v042	1240	stan1288
1217	Danish	not	egə	e g ə	353	e g ə	v200 c824 v155	1240	dani1285
1218	Bulgarian	not	nɛ	n ɛ	352	n ɛ	c105 v229	1240	bulg1262
1219	Armenian	not	voʧʰ	v o ʧʰ	351	v o tʃʰ	c446 v042 c655	1240	nucl1235
1220	Romanian	not	nu	n u	352	n u	c105 v027	1240	roma1327
1221	Russian	not	nʲɛ	nʲ ɛ	352	nʲ ɛ	c099 v229	1240	russ1263
1222	Polish	not	nʲɛ	nʲ ɛ	352	nʲ ɛ	c099 v229	1240	poli1260
1223	Norwegian	not	ikə	i k ə	353	i k ə	v191 c831 v155	1240	norw1258
1224	French	not	nə	n ə	352	n ə	c105 v155	1240	stan1290
1225	Czech	not	nɛ	n ɛ	352	n ɛ	c105 v229	1240	czec1258
1226	Icelandic	not	ɛʰcɪ	ɛ ʰc ɪ	353	ɛ ʰc ɪ	v229 c835 v219	1240	icel1247
1227	Italian	not	non	n o n	352	n o n	c105 v042 c105	1240	ital1282
1228	Hindi	not	naɦĩ	n a ɦ ĩ	352	n a ɦ ĩ	c105 v130 c397 v193	1240	hind1269
1229	Portuguese	not	nɐ̃w	n ɐ̃ w	352	n ɐ̃ w	c105 v120 c457	1240	port1283
1230	Dutch	one	eːn	eː n	354	eː n	v202 c105	1493	dutc1256
1231	Swedish	one	en	e n	354	e n	v200 c105	1493	swed1254
1232	English	one	ʋʌn	ʋ ʌ n	354	ʋ ʌ n	c424 v097 c105	1493	stan1293
1233	German	one	ain	ai n	354	ai n	d030 c105	1493	stan1295
1234	Spanish	one	uno	u n o	354	u n o	v027 c105 v042	1493	stan1288
1235	Danish	one	eˀn	eˀ n	354	eˀ n	v205 c105	1493	dani1285
1236	Bulgarian	one	ɛdnɔ	ɛ d n ɔ	354	ɛ d n ɔ	v229 c143 c105 v067	1493	bulg1262
1237	Greek	one	ena	e n a	355	e n a	v200 c105 v130	1493	mode1248
1238	Armenian	one	mɛk	m ɛ k	355	m ɛ k	c239 v229 c831	1493	nucl1235
1239	Romanian	one	unu	u n u	354	u n u	v027 c105 v027	1493	roma1327
1240	Russian	one	ɐdʲin	ɐ dʲ i n	354	ɐ dʲ i n	v119 c127 v191 c105	1493	russ1263
1241	Polish	one	jɛdɛn	j ɛ d ɛ n	354	j ɛ d ɛ n	c564 v229 c143 v229 c105	1493	poli1260
1242	Norwegian	one	eːn	eː n	354	eː n	v202 c105	1493	norw1258
1243	French	one	œ̃	œ̃	354	œ̃	v175	1493	stan1290
1244	Czech	one	jɛdɛn	j ɛ d ɛ n	354	j ɛ d ɛ n	c564 v229 c143 v229 c105	1493	czec1258
1245	Icelandic	one	eit͡n	ei t͡n	354	ei n̥	d047 c093	1493	icel1247
1246	Italian	one	uno	u n o	354	u n o	v027 c105 v042	1493	ital1282
1247	Hindi	one	eːk	eː k	354	eː k	v202 c831	1493	hind1269
1248	Portuguese	one	ũ	ũ	354	ũ	v025	1493	port1283
1249	Dutch	person	mɛns	m ɛ n s	361	m ɛ n s	c239 v229 c105 c087	683	dutc1256
1250	Swedish	person	mɛniʃa	m ɛ n i ʃ a	361	m ɛ n i ʃ a	c239 v229 c105 v191 c677 v130	683	swed1254
1251	English	person	mæn	m æ n	361	m æ n	c239 v198 c105	683	stan1293
1252	German	person	mɛnʃ	m ɛ n ʃ	361	m ɛ n ʃ	c239 v229 c105 c677	683	stan1295
1253	Spanish	person	ombɾe	o m b ɾ e	357	o m b ɾ e	v042 c239 c254 c064 v200	683	stan1288
1254	Danish	person	mɛnəsgə	m ɛ n ə s g ə	361	m ɛ n ə s g ə	c239 v229 c105 v155 c087 c824 v155	683	dani1285
1255	Bulgarian	person	ʧovɛk	ʧ o v ɛ k	360	tʃ o v ɛ k	c645 v042 c446 v229 c831	683	bulg1262
1256	Greek	person	anθropos	a n θ r o p o s	358	a n θ r o p o s	v130 c105 c413 c151 v042 c288 v042 c087	683	mode1248
1257	Armenian	person	mɑɾtʰ	m ɑ ɾ tʰ	-359	m ɑ ɾ tʰ	c239 v089 c064 c136	683	nucl1235
1258	Romanian	person	om	o m	357	o m	v042 c239	683	roma1327
1259	Russian	person	ʧʲɪlɐvʲɛk	ʧʲ ɪ l ɐ vʲ ɛ k	360	tʃʲ ɪ l ɐ vʲ ɛ k	c658 v219 c548 v119 c429 v229 c831	683	russ1263
1260	Polish	person	ʧwɔvʲɛk	ʧ w ɔ vʲ ɛ k	360	tʃ w ɔ vʲ ɛ k	c645 c457 v067 c429 v229 c831	683	poli1260
1261	Norwegian	person	menəskə	m e n ə s k ə	361	m e n ə s k ə	c239 v200 c105 v155 c087 c831 v155	683	norw1258
1262	French	person	ɔm	ɔ m	357	ɔ m	v067 c239	683	stan1290
1263	Czech	person	ʧlovʲɛk	ʧ l o vʲ ɛ k	360	tʃ l o vʲ ɛ k	c645 c548 v042 c429 v229 c831	683	czec1258
1264	Icelandic	person	maːðʏr	m aː ð ʏ r	361	m aː ð ʏ r	c239 v137 c415 v173 c151	683	icel1247
1265	Italian	person	wɔmo	w ɔ m o	357	w ɔ m o	c457 v067 c239 v042	683	ital1282
1266	Hindi	person	aːdmiː	aː d m iː	-356	aː d m iː	v137 c143 c239 v183	683	hind1269
1267	Portuguese	person	ɔmɐ̃	ɔ m ɐ̃	357	ɔ m ɐ̃	v067 c239 v120	683	port1283
1268	Dutch	rain	reːɣə	r eː ɣ ə	362	r eː ɣ ə	c151 v202 c774 v155	658	dutc1256
1269	Swedish	rain	reŋːn	r e ŋː n	362	r e ŋː n	c151 v200 c798 c105	658	swed1254
1270	English	rain	reɪn	r eɪ n	362	r eɪ n	c151 d048 c105	658	stan1293
1271	German	rain	reːɡən	r eː ɡ ə n	362	r eː g ə n	c151 v202 c824 v155 c105	658	stan1295
1272	Spanish	rain	ʎuβja	ʎ u β j a	363	ʎ u β j a	c582 v027 c225 c564 v130	658	stan1288
1273	Danish	rain	ʁɑjˀn	ʁ ɑ jˀ n	362	ʁ ɑ jˀ n	c733 v089 c566 c105	658	dani1285
1274	Bulgarian	rain	dɤʃt	d ɤ ʃ t	365	d ɤ ʃ t	c143 v084 c677 c118	658	bulg1262
1275	Greek	rain	vroçi	v r o ç i	366	v r o ç i	c446 c151 v042 c577 v191	658	mode1248
1276	Armenian	rain	ɑnʣɾɛv	ɑ n ʣ ɾ ɛ v	364	ɑ n dz ɾ ɛ v	v089 c105 c020 c064 v229 c446	658	nucl1235
1277	Romanian	rain	plwaje	p l w a j e	363	p l w a j e	c288 c548 c457 v130 c564 v200	658	roma1327
1278	Russian	rain	doʃtʲ	d o ʃ tʲ	365	d o ʃ tʲ	c143 v042 c677 c113	658	russ1263
1279	Polish	rain	dɛʃʧ	d ɛ ʃ ʧ	365	d ɛ ʃ tʃ	c143 v229 c677 c645	658	poli1260
1280	Norwegian	rain	ɾæjnə	ɾ æ j n ə	362	ɾ æ j n ə	c064 v198 c564 c105 v155	658	norw1258
