ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	CLPA_TOKENS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
506	English	heavy	heavy	hɛvi	h ɛ v i	329	h ɛ v i	c401 v229 c446 v191	1210	stan1293
507	French	heavy	lourd	lurd	l u r d	328	l u r d	c548 v027 c151 c143	1210	stan1290
508	German	heavy	schwer	ʃveːr	ʃ v eː r	327	ʃ v eː r	c677 c446 v202 c151	1210	stan1295
509	Hawaiian	heavy	kaumaha	kaumaha	k a u m a h a	334	k a u m a h a	c831 v130 v027 c239 v130 c401 v130	1210	hawa1245
510	Navajo	heavy	ndaaz	ndaːz	n d aː z	332	n d aː z	c105 c143 v137 c078	1210	nava1243
511	Turkish	heavy	ağır	aɣɯr	a ɣ ɯ r	330	a ɣ ɯ r	v130 c774 v081 c151	1210	nucl1301
512	Albanian	here	këtu	kətu	k ə t u	523	k ə t u	c831 v155 c118 v027	136	gheg1238
513	English	here	here	hɪr	h ɪ r	520	h ɪ r	c401 v219 c151	136	stan1293
514	French	here	ici	isi	i s i	521	i s i	v191 c087 v191	136	stan1290
515	German	here	hier	hiːr	h iː r	520	h iː r	c401 v183 c151	136	stan1295
516	Hawaiian	here	nei	nei	n e i	526	n e i	c105 v200 v191	136	hawa1245
517	Navajo	here	kwe'é	kweʔe	kw e ʔ e	524	kʷ e ʔ e	c827 v200 c405 v200	136	nava1243
518	Turkish	here	burada	bura	b u r a	522	b u r a	c254 v027 c151 v130	136	nucl1301
519	Albanian	hit	qëllon	cəło	c ə ł o	177	c ə lˠ o	c600 v155 c543 v042	1433	gheg1238
520	English	hit	hits	hɪt	h ɪ t	-175	h ɪ t	c401 v219 c118	1433	stan1293
521	French	hit	frappe	frape	f r a p e	-174	f r a p e	c447 c151 v130 c288 v200	1433	stan1290
522	German	hit	schlägt	ʃlaːg	ʃ l aː g	173	ʃ l aː g	c677 c548 v137 c824	1433	stan1295
523	Hawaiian	hit	ku`i	kuʔi	k u ʔ i	180	k u ʔ i	c831 v027 c405 v191	1433	hawa1245
524	Navajo	hit	ńdiists'in	ńdiːɬʦˀin	n̩ d iː ɬ ʦˀ i n	178	n̩ d iː ɬ tsˀ i n	c095 c143 v183 c534 c016 v191 c105	1433	nava1243
525	Turkish	hit	vuruyor	vur	v u r	176	v u r	c446 v027 c151	1433	nucl1301
526	Albanian	hold	mban	mba	m b a	811	m b a	c239 c254 v130	1448	gheg1238
527	English	hold	holds	hold	h o l d	808	h o l d	c401 v042 c548 c143	1448	stan1293
528	French	hold	tient	tən	t ə n	809	t ə n	c118 v155 c105	1448	stan1290
529	German	hold	hält	halt	h a l t	808	h a l t	c401 v130 c548 c118	1448	stan1295
530	Hawaiian	hold	pa`a	paʔa	p a ʔ a	813	p a ʔ a	c288 v130 c405 v130	1448	hawa1245
531	Navajo	hold	yótą'	jotãʔ	j o t ã ʔ	812	j o t ã ʔ	c564 v042 c118 v147 c405	1448	nava1243
532	Turkish	hold	tutuyor	tut	t u t	810	t u t	c118 v027 c118	1448	nucl1301
533	Albanian	horn	bri	brir	b r i r	1085	b r i r	c254 c151 v191 c151	1393	gheg1238
534	English	horn	horn	hɔrn	h ɔ r n	1083	h ɔ r n	c401 v067 c151 c105	1393	stan1293
535	French	horn	corne	kɔrn	k ɔ r n	1083	k ɔ r n	c831 v067 c151 c105	1393	stan1290
536	German	horn	Horn	horn	h o r n	1083	h o r n	c401 v042 c151 c105	1393	stan1295
537	Hawaiian	horn	kiwi	kiwi	k i w i	1087	k i w i	c831 v191 c457 v191	1393	hawa1245
538	Navajo	horn	'adee'	deːʔ	d eː ʔ	1086	d eː ʔ	c143 v202 c405	1393	nava1243
539	Turkish	horn	boynuz	bojnuz	b o j n u z	1084	b o j n u z	c254 v042 c564 c105 v027 c078	1393	nucl1301
540	Albanian	hot	nxehtë	nʣeht	n ʣ e h t	999	n dz e h t	c105 c020 v200 c401 c118	1286	gheg1238
541	English	hot	hot	hɑt	h ɑ t	996	h ɑ t	c401 v089 c118	1286	stan1293
542	French	hot	chaud	ʃod	ʃ o d	997	ʃ o d	c677 v042 c143	1286	stan1290
543	German	hot	heiß	hais	h ai s	996	h ai s	c401 d030 c087	1286	stan1295
544	Hawaiian	hot	wela	wela	w e l a	1001	w e l a	c457 v200 c548 v130	1286	hawa1245
545	Navajo	hot	sido	sido	s i d o	1000	s i d o	c087 v191 c143 v042	1286	nava1243
546	Turkish	hot	sıcak	sɯjak	s ɯ j a k	998	s ɯ j a k	c087 v081 c564 v130 c831	1286	nucl1301
547	Albanian	human	njerí	ɲeri	ɲ e r i	49	ɲ e r i	c589 v200 c151 v191	683	gheg1238
548	English	human	human	hjumən	h j u m ə n	-47	h j u m ə n	c401 c564 v027 c239 v155 c105	683	stan1293
549	French	human	humain	ymɛn	y m ɛ n	-47	y m ɛ n	v166 c239 v229 c105	683	stan1290
550	German	human	Mensch	menʃən	m e n ʃ ə n	46	m e n ʃ ə n	c239 v200 c105 c677 v155 c105	683	stan1295
551	Hawaiian	human	kanaka	kanaka	k a n a k a	51	k a n a k a	c831 v130 c105 v130 c831 v130	683	hawa1245
552	Navajo	human	diné	dine	d i n e	50	d i n e	c143 v191 c105 v200	683	nava1243
553	Turkish	human	adam	adam	a d a m	-48	a d a m	v130 c143 v130 c239	683	nucl1301
554	Albanian	hunt	gjuan	ɟua	ɟ u a	267	ɟ u a	c603 v027 v130	1435	gheg1238
555	English	hunt	hunts	hənt	h ə n t	265	h ə n t	c401 v155 c105 c118	1435	stan1293
556	French	hunt	chasse	ʃase	ʃ a s e	264	ʃ a s e	c677 v130 c087 v200	1435	stan1290
557	German	hunt	jagt	jaːg	j aː g	263	j aː g	c564 v137 c824	1435	stan1295
558	Hawaiian	hunt	hahai	hahai	h a h a i	270	h a h a i	c401 v130 c401 v130 v191	1435	hawa1245
559	Navajo	hunt	haalzheeh	haːlʒeːh	h aː l ʒ eː h	268	h aː l ʒ eː h	c401 v137 c548 c679 v202 c401	1435	nava1243
560	Turkish	hunt	avlıyor	avla	a v l a	266	a v l a	v130 c446 c548 v130	1435	nucl1301
561	Albanian	husband	burrë	burː	b u rː	324	b u rː	c254 v027 c160	1200	gheg1238
562	English	husband	husband	həzbənd	h ə z b ə n d	-322	h ə z b ə n d	c401 v155 c078 c254 v155 c105 c143	1200	stan1293
563	French	husband	mari	mari	m a r i	321	m a r i	c239 v130 c151 v191	1200	stan1290
564	German	husband	Gatte	gatə	g a t ə	320	g a t ə	c824 v130 c118 v155	1200	stan1295
565	Hawaiian	husband	kāne	kaːne	k aː n e	326	k aː n e	c831 v137 c105 v200	1200	hawa1245
566	Navajo	husband	hastiin	hastiːn	h a s t iː n	325	h a s t iː n	c401 v130 c087 c118 v183 c105	1200	nava1243
567	Turkish	husband	koca	koʤa	k o ʤ a	-323	k o dʒ a	c831 v042 c649 v130	1200	nucl1301
575	Albanian	ice	akull	akuł	a k u ł	451	a k u lˠ	v130 c831 v027 c543	617	gheg1238
576	English	ice	ice	ais	ai s	448	ai s	d030 c087	617	stan1293
577	French	ice	glace	glas	g l a s	449	g l a s	c824 c548 v130 c087	617	stan1290
578	German	ice	Eis	ais	ai s	448	ai s	d030 c087	617	stan1295
579	Hawaiian	ice	hau	hau	h a u	453	h a u	c401 v130 v027	617	hawa1245
580	Navajo	ice	tin	tin	t i n	452	t i n	c118 v191 c105	617	nava1243
581	Turkish	ice	buz	buz	b u z	450	b u z	c254 v027 c078	617	nucl1301
582	Albanian	if	në qoftë se	coft	c o f t	972	c o f t	c600 v042 c447 c118	1459	gheg1238
583	English	if	if	ɪf	ɪ f	970	ɪ f	v219 c447	1459	stan1293
584	French	if	si	si	s i	969	s i	c087 v191	1459	stan1290
585	German	if	wenn	ven	v e n	968	v e n	c446 v200 c105	1459	stan1295
586	Hawaiian	if	inā	inaː	i n aː	974	i n aː	v191 c105 v137	1459	hawa1245
587	Navajo	if	-dąą	dãː	d ãː	973	d ãː	c143 v125	1459	nava1243
588	Turkish	if	eğer	eɣer	e ɣ e r	-971	e ɣ e r	v200 c774 v200 c151	1459	nucl1301
589	Albanian	in	në	nə	n ə	957	n ə	c105 v155	1460	gheg1238
590	English	in	in	ɪn	ɪ n	957	ɪ n	v219 c105	1460	stan1293
591	French	in	dans	dɑ̃	d ɑ̃	957	d ɑ̃	c143 v088	1460	stan1290
592	German	in	in	in	i n	957	i n	v191 c105	1460	stan1295
593	Hawaiian	in	i loko	loko	l o k o	960	l o k o	c548 v042 c831 v042	1460	hawa1245
594	Navajo	in	bii'	iːʔ	iː ʔ	959	iː ʔ	v183 c405	1460	nava1243
595	Turkish	in	içinde	iʧin	i ʧ i n	958	i tʃ i n	v191 c645 v191 c105	1460	nucl1301
596	Albanian	kill	vret	vr	v r	42	v r	c446 c151	1417	gheg1238
597	English	kill	kills	kɪl	k ɪ l	40	k ɪ l	c831 v219 c548	1417	stan1293
598	French	kill	tue	tye	t y e	39	t y e	c118 v166 v200	1417	stan1290
599	German	kill	tötet	tøːt	t øː t	38	t øː t	c118 v169 c118	1417	stan1295
600	Hawaiian	kill	pepehi ā make	pepehiaːmake	p e p e h i aː m a k e	45	p e p e h i aː m a k e	c288 v200 c288 v200 c401 v191 v137 c239 v130 c831 v200	1417	hawa1245
601	Navajo	kill	'iishhé	ʔiːɣe	ʔ iː ɣ e	43	ʔ iː ɣ e	c405 v183 c774 v200	1417	nava1243
602	Turkish	kill	öldürüyor	øldyr	ø l d y r	41	ø l d y r	v171 c548 c143 v166 c151	1417	nucl1301
603	Albanian	knee	gju	ɟur	ɟ u r	1127	ɟ u r	c603 v027 c151	1371	gheg1238
604	English	knee	knee	ni	n i	1125	n i	c105 v191	1371	stan1293
605	French	knee	genou	ʒənu	ʒ ə n u	1125	ʒ ə n u	c679 v155 c105 v027	1371	stan1290
606	German	knee	Knie	kniː	k n iː	1125	k n iː	c831 c105 v183	1371	stan1295
607	Hawaiian	knee	kuli	kuli	k u l i	1129	k u l i	c831 v027 c548 v191	1371	hawa1245
608	Navajo	knee	'agod	god	g o d	1128	g o d	c824 v042 c143	1371	nava1243
609	Turkish	knee	diz	diz	d i z	1126	d i z	c143 v191 c078	1371	nucl1301
610	Albanian	knife	thikë	θik	θ i k	489	θ i k	c413 v191 c831	1352	gheg1238
611	English	knife	knife	naif	n ai f	487	n ai f	c105 d030 c447	1352	stan1293
612	French	knife	couteau	kuto	k u t o	486	k u t o	c831 v027 c118 v042	1352	stan1290
613	German	knife	Messer	mesər	m e s ə r	485	m e s ə r	c239 v200 c087 v155 c151	1352	stan1295
614	Hawaiian	knife	pahi	pahi	p a h i	491	p a h i	c288 v130 c401 v191	1352	hawa1245
615	Navajo	knife	béésh	beːʃ	b eː ʃ	490	b eː ʃ	c254 v202 c677	1352	nava1243
616	Turkish	knife	bıçak	bɯʧak	b ɯ ʧ a k	488	b ɯ tʃ a k	c254 v081 c645 v130 c831	1352	nucl1301
617	Albanian	know	di	di	d i	1242	d i	c143 v191	1410	gheg1238
618	English	know	knows	no	n o	1240	n o	c105 v042	1410	stan1293
619	French	know	sait	sa	s a	1239	s a	c087 v130	1410	stan1290
620	German	know	weiß	vis	v i s	1238	v i s	c446 v191 c087	1410	stan1295
621	Hawaiian	know	`ike	ʔike	ʔ i k e	1245	ʔ i k e	c405 v191 c831 v200	1410	hawa1245
622	Navajo	know	bééhózin	beːhozin	b eː h o z i n	1243	b eː h o z i n	c254 v202 c401 v042 c078 v191 c105	1410	nava1243
623	Turkish	know	biliyor	bil	b i l	1241	b i l	c254 v191 c548	1410	nucl1301
624	Albanian	lake	liqen	licen	l i c e n	-113	l i c e n	c548 v191 c600 v200 c105	624	gheg1238
625	English	lake	lake	lek	l e k	-111	l e k	c548 v200 c831	624	stan1293
626	French	lake	lac	lak	l a k	-111	l a k	c548 v130 c831	624	stan1290
627	German	lake	See	zeː	z eː	110	z eː	c078 v202	624	stan1295
628	Hawaiian	lake	loko	loko	l o k o	115	l o k o	c548 v042 c831 v042	624	hawa1245
629	Navajo	lake	tooh siyínígíí	toːh	t oː h	114	t oː h	c118 v035 c401	624	nava1243
630	Turkish	lake	göl	gøl	g ø l	112	g ø l	c824 v171 c548	624	nucl1301
631	Albanian	laugh	qesh	ceʃ	c e ʃ	679	c e ʃ	c600 v200 c677	1355	gheg1238
632	English	laugh	laughs	laf	l a f	676	l a f	c548 v130 c447	1355	stan1293
633	French	laugh	rit	ri	r i	677	r i	c151 v191	1355	stan1290
634	German	laugh	lacht	lax	l a x	676	l a x	c548 v130 c772	1355	stan1295
635	Hawaiian	laugh	`aka	ʔaka	ʔ a k a	681	ʔ a k a	c405 v130 c831 v130	1355	hawa1245
636	Navajo	laugh	yidloh	jidˡoh	j i dˡ o h	680	j i dˡ o h	c564 v191 c144 v042 c401	1355	nava1243
637	Turkish	laugh	gülüyor	gyl	g y l	678	g y l	c824 v166 c548	1355	nucl1301
638	Albanian	leaf	gjethe	ɟeθ	ɟ e θ	430	ɟ e θ	c603 v200 c413	628	gheg1238
639	English	leaf	leaf	lif	l i f	428	l i f	c548 v191 c447	628	stan1293
640	French	leaf	feuille	fœj	f œ j	427	f œ j	c447 v178 c564	628	stan1290
641	German	leaf	Blatt	blat	b l a t	426	b l a t	c254 c548 v130 c118	628	stan1295
642	Hawaiian	leaf	lau	lau	l a u	432	l a u	c548 v130 v027	628	hawa1245
643	Navajo	leaf	'at'ąą'	tˀãːʔ	tˀ ãː ʔ	431	tˀ ãː ʔ	c840 v125 c405	628	nava1243
644	Turkish	leaf	yaprak	japrak	j a p r a k	429	j a p r a k	c564 v130 c288 c151 v130 c831	628	nucl1301
645	Albanian	left	majtë	majt	m a j t	1218	m a j t	c239 v130 c564 c118	244	gheg1238
646	English	left	left	lɛft	l ɛ f t	1216	l ɛ f t	c548 v229 c447 c118	244	stan1293
647	French	left	gauche	goʃ	g o ʃ	-1215	g o ʃ	c824 v042 c677	244	stan1290
648	German	left	link	liŋk	l i ŋ k	1214	l i ŋ k	c548 v191 c795 c831	244	stan1295
649	Hawaiian	left	hema	hema	h e m a	1221	h e m a	c401 v200 c239 v130	244	hawa1245
650	Navajo	left	nishtƚ'a	niʃtˡˀa	n i ʃ tˡˀ a	1219	n i ʃ tˡˀ a	c105 v191 c677 c120 v130	244	nava1243
651	Turkish	left	sol	sol	s o l	1217	s o l	c087 v042 c548	244	nucl1301
652	Albanian	lie	(rri) shtrirë	ʃtrir	ʃ t r i r	978	ʃ t r i r	c677 c118 c151 v191 c151	1411	gheg1238
653	English	lie	lies	lai	l ai	975	l ai	c548 d030	1411	stan1293
654	French	lie	(est) allongé	alɔ̃ʒe	a l ɔ̃ ʒ e	976	a l ɔ̃ ʒ e	v130 c548 v066 c679 v200	1411	stan1290
655	German	lie	liegt	liːg	l iː g	975	l iː g	c548 v183 c824	1411	stan1295
656	Hawaiian	lie	moe	moe	m o e	981	m o e	c239 v042 v200	1411	hawa1245
657	Navajo	lie	sitį́	sitĩ́	s i t ĩ́	979	s i t ĩ	c087 v191 c118 v193	1411	nava1243
658	Turkish	lie	yatıyor	jat	j a t	977	j a t	c564 v130 c118	1411	nucl1301
659	Albanian	liver	mëlçi	məlʧi	m ə l ʧ i	796	m ə l tʃ i	c239 v155 c548 c645 v191	1224	gheg1238
660	English	liver	liver	lɪvər	l ɪ v ə r	793	l ɪ v ə r	c548 v219 c446 v155 c151	1224	stan1293
661	French	liver	foie	fwa	f w a	-794	f w a	c447 c457 v130	1224	stan1290
662	German	liver	Leber	leːbər	l eː b ə r	793	l eː b ə r	c548 v202 c254 v155 c151	1224	stan1295
663	Hawaiian	liver	ake	ake	a k e	799	a k e	v130 c831 v200	1224	hawa1245
664	Navajo	liver	'azid	zid	z i d	797	z i d	c078 v191 c143	1224	nava1243
665	Turkish	liver	ciğer	ʤiɣer	ʤ i ɣ e r	-795	dʒ i ɣ e r	c649 v191 c774 v200 c151	1224	nucl1301
666	Albanian	long	gjatë	ɟat	ɟ a t	728	ɟ a t	c603 v130 c118	1203	gheg1238
667	English	long	long	lɔŋ	l ɔ ŋ	728	l ɔ ŋ	c548 v067 c795	1203	stan1293
668	French	long	long	lɔ̃g	l ɔ̃ g	728	l ɔ̃ g	c548 v066 c824	1203	stan1290
669	German	long	lang	laŋ	l a ŋ	728	l a ŋ	c548 v130 c795	1203	stan1295
670	Hawaiian	long	loa	loa	l o a	731	l o a	c548 v042 v130	1203	hawa1245
671	Navajo	long	nineez	nineːz	n i n eː z	730	n i n eː z	c105 v191 c105 v202 c078	1203	nava1243
672	Turkish	long	uzun	uzun	u z u n	729	u z u n	v027 c078 v027 c105	1203	nucl1301
673	Albanian	louse	morr	morː	m o rː	601	m o rː	c239 v042 c160	1392	gheg1238
674	English	louse	louse	laus	l au s	598	l au s	c548 d026 c087	1392	stan1293
675	French	louse	pou	pu	p u	599	p u	c288 v027	1392	stan1290
676	German	louse	Laus	lauz	l au z	598	l au z	c548 d026 c078	1392	stan1295
677	Hawaiian	louse	`uku	ʔuku	ʔ u k u	603	ʔ u k u	c405 v027 c831 v027	1392	hawa1245
678	Navajo	louse	yaa'	jaːʔ	j aː ʔ	602	j aː ʔ	c564 v137 c405	1392	nava1243
679	Turkish	louse	bit	bit	b i t	600	b i t	c254 v191 c118	1392	nucl1301
680	Albanian	man	burrë	burː	b u rː	1146	b u rː	c254 v027 c160	1554	gheg1238
681	English	man	man	man	m a n	1143	m a n	c239 v130 c105	1554	stan1293
682	French	man	homme	ɔm	ɔ m	1144	ɔ m	v067 c239	1554	stan1290
683	German	man	Mann	man	m a n	1143	m a n	c239 v130 c105	1554	stan1295
684	Hawaiian	man	kāne	kaːne	k aː n e	1149	k aː n e	c831 v137 c105 v200	1554	hawa1245
685	Navajo	man	hastiin	hastiːn	h a s t iː n	1147	h a s t iː n	c401 v130 c087 c118 v183 c105	1554	nava1243
686	Turkish	man	erkek	erkek	e r k e k	1145	e r k e k	v200 c151 c831 v200 c831	1554	nucl1301
687	Albanian	many	shumë	ʃum	ʃ u m	-594	ʃ u m	c677 v027 c239	1198	gheg1238
688	English	many	many	mɛni	m ɛ n i	592	m ɛ n i	c239 v229 c105 v191	1198	stan1293
689	French	many	beaucoup de	boku	b o k u	591	b o k u	c254 v042 c831 v027	1198	stan1290
690	German	many	viele	fiːl	f iː l	590	f iː l	c447 v183 c548	1198	stan1295
691	Hawaiian	many	nui	nui	n u i	597	n u i	c105 v027 v191	1198	hawa1245
692	Navajo	many	lą'í	lãʔi	l ã ʔ i	595	l ã ʔ i	c548 v147 c405 v191	1198	nava1243
693	Turkish	many	çok	ʧok	ʧ o k	-593	tʃ o k	c645 v042 c831	1198	nucl1301
694	Albanian	meat	mish	miʃ	m i ʃ	252	m i ʃ	c239 v191 c677	634	gheg1238
695	English	meat	meat	mit	m i t	250	m i t	c239 v191 c118	634	stan1293
696	French	meat	viande	vjɑ̃d	v j ɑ̃ d	249	v j ɑ̃ d	c446 c564 v088 c143	634	stan1290
697	German	meat	Fleisch	flaiʃ	f l ai ʃ	248	f l ai ʃ	c447 c548 d030 c677	634	stan1295
698	Hawaiian	meat	`i`o	ʔiʔo	ʔ i ʔ o	255	ʔ i ʔ o	c405 v191 c405 v042	634	hawa1245
699	Navajo	meat	'atsį'	ʦĩʔ	ʦ ĩ ʔ	253	ts ĩ ʔ	c015 v193 c405	634	nava1243
700	Turkish	meat	et	et	e t	251	e t	v200 c118	634	nucl1301
701	Albanian	moon	hënë	hən	h ə n	457	h ə n	c401 v155 c105	1313	gheg1238
702	English	moon	moon	mun	m u n	454	m u n	c239 v027 c105	1313	stan1293
703	French	moon	lune	lyn	l y n	455	l y n	c548 v166 c105	1313	stan1290
704	German	moon	Mond	moːnd	m oː n d	454	m oː n d	c239 v035 c105 c143	1313	stan1295
705	Hawaiian	moon	mahina	mahina	m a h i n a	459	m a h i n a	c239 v130 c401 v191 c105 v130	1313	hawa1245
706	Navajo	moon	'ooljéé'	ʔoːlʤeːʔ	ʔ oː l ʤ eː ʔ	458	ʔ oː l dʒ eː ʔ	c405 v035 c548 c649 v202 c405	1313	nava1243
707	Turkish	moon	ay	aj	a j	456	a j	v130 c564	1313	nucl1301
708	Albanian	mother	nënë	nən	n ə n	1199	n ə n	c105 v155 c105	1216	gheg1238
709	English	mother	mother	məðər	m ə ð ə r	1197	m ə ð ə r	c239 v155 c415 v155 c151	1216	stan1293
710	French	mother	mère	mɛr	m ɛ r	1197	m ɛ r	c239 v229 c151	1216	stan1290
711	German	mother	Mutter	mutər	m u t ə r	1197	m u t ə r	c239 v027 c118 v155 c151	1216	stan1295
712	Hawaiian	mother	makuahine	makuahine	m a k u a h i n e	1201	m a k u a h i n e	c239 v130 c831 v027 v130 c401 v191 c105 v200	1216	hawa1245
713	Navajo	mother	'amá	may	m ai	1200	m ai	c239 d030	1216	nava1243
714	Turkish	mother	anne	anne	a n n e	1198	a n n e	v130 c105 c105 v200	1216	nucl1301
715	Albanian	mountain	mal	mal	m a l	1063	m a l	c239 v130 c548	639	gheg1238
716	English	mountain	mountain	mauntən	m au n t ə n	-1061	m au n t ə n	c239 d026 c105 c118 v155 c105	639	stan1293
717	French	mountain	montagne	mɔ̃taɲ	m ɔ̃ t a ɲ	1061	m ɔ̃ t a ɲ	c239 v066 c118 v130 c589	639	stan1290
718	German	mountain	Berg	berg	b e r g	1060	b e r g	c254 v200 c151 c824	639	stan1295
719	Hawaiian	mountain	mauna	mauna	m a u n a	1065	m a u n a	c239 v130 v027 c105 v130	639	hawa1245
720	Navajo	mountain	dziƚ	ʣiɬ	ʣ i ɬ	1064	dz i ɬ	c020 v191 c534	639	nava1243
721	Turkish	mountain	dağ	daɣ	d a ɣ	1062	d a ɣ	c143 v130 c774	639	nucl1301
722	Albanian	mouth	gojë	goj	g o j	-1108	g o j	c824 v042 c564	674	gheg1238
723	English	mouth	mouth	mauθ	m au θ	1105	m au θ	c239 d026 c413	674	stan1293
724	French	mouth	bouche	buʃ	b u ʃ	1106	b u ʃ	c254 v027 c677	674	stan1290
725	German	mouth	Mund	mund	m u n d	1105	m u n d	c239 v027 c105 c143	674	stan1295
726	Hawaiian	mouth	waha	waha	w a h a	1111	w a h a	c457 v130 c401 v130	674	hawa1245
727	Navajo	mouth	'azéé'	zeːʔ	z eː ʔ	1109	z eː ʔ	c078 v202 c405	674	nava1243
728	Turkish	mouth	ağız	aɣz	a ɣ z	1107	a ɣ z	v130 c774 c078	674	nucl1301
729	Albanian	name	emër	emər	e m ə r	244	e m ə r	v200 c239 v155 c151	1405	gheg1238
730	English	name	name	nem	n e m	244	n e m	c105 v200 c239	1405	stan1293
731	French	name	nom	nɔ̃	n ɔ̃	244	n ɔ̃	c105 v066	1405	stan1290
732	German	name	Name	naːmən	n aː m ə n	244	n aː m ə n	c105 v137 c239 v155 c105	1405	stan1295
733	Hawaiian	name	inoa	inoa	i n o a	247	i n o a	v191 c105 v042 v130	1405	hawa1245
734	Navajo	name	'ázhi'	ʒiʔ	ʒ i ʔ	246	ʒ i ʔ	c679 v191 c405	1405	nava1243
735	Turkish	name	ad	ad	a d	245	a d	v130 c143	1405	nucl1301
736	Albanian	narrow	ngushtë	nguʃt	n g u ʃ t	-630	n g u ʃ t	c105 c824 v027 c677 c118	1267	gheg1238
737	English	narrow	narrow	naro	n a r o	632	n a r o	c105 v130 c151 v042	1267	stan1293
738	French	narrow	étroit	etrwat	e t r w a t	631	e t r w a t	v200 c118 c151 c457 v130 c118	1267	stan1290
739	German	narrow	eng	eŋ	e ŋ	630	e ŋ	v200 c795	1267	stan1295
740	Hawaiian	narrow	lā`iki	laːʔiki	l aː ʔ i k i	635	l aː ʔ i k i	c548 v137 c405 v191 c831 v191	1267	hawa1245
741	Navajo	narrow	'áƚts'óózí	ʔayɬʦˀoːzi	ʔ ai ɬ ʦˀ oː z i	634	ʔ ai ɬ tsˀ oː z i	c405 d030 c534 c016 v035 c078 v191	1267	nava1243
742	Turkish	narrow	dar	dar	d a r	633	d a r	c143 v130 c151	1267	nucl1301
743	Albanian	near	afër	afər	a f ə r	892	a f ə r	v130 c447 v155 c151	1942	gheg1238
744	English	near	near	nɪr	n ɪ r	889	n ɪ r	c105 v219 c151	1942	stan1293
745	French	near	près de	prɛ	p r ɛ	890	p r ɛ	c288 c151 v229	1942	stan1290
746	German	near	nah	naː	n aː	889	n aː	c105 v137	1942	stan1295
747	Hawaiian	near	kokoke	kokoke	k o k o k e	895	k o k o k e	c831 v042 c831 v042 c831 v200	1942	hawa1245
748	Navajo	near	'áhání	ʔayhayni	ʔ ai h ai n i	893	ʔ ai h ai n i	c405 d030 c401 d030 c105 v191	1942	nava1243
749	Turkish	near	yakın	jakɯn	j a k ɯ n	891	j a k ɯ n	c564 v130 c831 v081 c105	1942	nucl1301
750	Albanian	neck	qafë	caf	c a f	-1158	c a f	c600 v130 c447	1333	gheg1238
751	English	neck	neck	nɛk	n ɛ k	1156	n ɛ k	c105 v229 c831	1333	stan1293
752	French	neck	cou	ku	k u	1155	k u	c831 v027	1333	stan1290
753	German	neck	Hals	halz	h a l z	1155	h a l z	c401 v130 c548 c078	1333	stan1295
754	Hawaiian	neck	`ā`ī	ʔaːʔiː	ʔ aː ʔ iː	1160	ʔ aː ʔ iː	c405 v137 c405 v183	1333	hawa1245
755	Navajo	neck	'ak'os	kˀos	kˀ o s	1159	kˀ o s	c841 v042 c087	1333	nava1243
756	Turkish	neck	boyun	bojn	b o j n	1157	b o j n	c254 v042 c564 c105	1333	nucl1301
757	Albanian	new	ri	ri	r i	475	r i	c151 v191	1231	gheg1238
758	English	new	new	nu	n u	473	n u	c105 v027	1231	stan1293
759	French	new	nouveau	nuvɛl	n u v ɛ l	473	n u v ɛ l	c105 v027 c446 v229 c548	1231	stan1290
760	German	new	neu	noi	n oi	473	n oi	c105 d015	1231	stan1295
761	Hawaiian	new	hou	hou	h o u	477	h o u	c401 v042 v027	1231	hawa1245
762	Navajo	new	'ániid	niːd	n iː d	476	n iː d	c105 v183 c143	1231	nava1243
763	Turkish	new	yeni	jeni	j e n i	474	j e n i	c564 v200 c105 v191	1231	nucl1301
764	Albanian	night	natë	nat	n a t	289	n a t	c105 v130 c118	1233	gheg1238
765	English	night	night	nait	n ai t	289	n ai t	c105 d030 c118	1233	stan1293
766	French	night	nuit	nɥi	n ɥ i	289	n ɥ i	c105 c453 v191	1233	stan1290
767	German	night	Nacht	naxt	n a x t	289	n a x t	c105 v130 c772 c118	1233	stan1295
768	Hawaiian	night	pō	poː	p oː	292	p oː	c288 v035	1233	hawa1245
769	Navajo	night	tl'éé'	tˡˀeːʔ	tˡˀ eː ʔ	291	tˡˀ eː ʔ	c120 v202 c405	1233	nava1243
770	Turkish	night	gece	geʤe	g e ʤ e	290	g e dʒ e	c824 v200 c649 v200	1233	nucl1301
771	Albanian	nose	hundë	hund	h u n d	286	h u n d	c401 v027 c105 c143	1221	gheg1238
772	English	nose	nose	noz	n o z	284	n o z	c105 v042 c078	1221	stan1293
773	French	nose	nez	ne	n e	284	n e	c105 v200	1221	stan1290
774	German	nose	Nase	naːzə	n aː z ə	284	n aː z ə	c105 v137 c078 v155	1221	stan1295
775	Hawaiian	nose	ihu	ihu	i h u	288	i h u	v191 c401 v027	1221	hawa1245
776	Navajo	nose	'áchį́į́h	ʧĩ́ːh	ʧ ĩ́ː h	287	tʃ ĩː h	c645 v181 c401	1221	nava1243
777	Turkish	nose	burun	burn	b u r n	285	b u r n	c254 v027 c151 c105	1221	nucl1301
778	Albanian	not	nuk	nuk	n u k	27	n u k	c105 v027 c831	1240	gheg1238
779	English	not	not	nɑt	n ɑ t	24	n ɑ t	c105 v089 c118	1240	stan1293
780	French	not	ne...pas	pa	p a	25	p a	c288 v130	1240	stan1290
